scan_index,test_gray,power_frame_1,power_frame_2,power_frame_3,power_mean,power_std,background_frame_1,background_frame_2,background_frame_3,background_mean,peak_frame_1,peak_frame_2,peak_frame_3,peak_max,saturated_frame_1,saturated_frame_2,saturated_frame_3,saturated_total,elapsed_s
36,219,69814.0,69308.0,69463.0,69528.33333333333,259.2495580195525,0.0,0.0,0.0,0.0,5,5,5,5,0,0,0,0,53.97331599999961
37,218,76815.0,77025.0,76183.0,76674.33333333333,438.2708447219976,0.0,0.0,0.0,0.0,5,5,5,5,0,0,0,0,55.4423257999988
38,217,84334.0,84437.0,83651.0,84140.66666666667,427.17950949610554,0.0,0.0,0.0,0.0,5,5,5,5,0,0,0,0,56.90661419999924
39,216,92314.0,92383.0,92606.0,92434.33333333333,152.6182601569463,0.0,0.0,0.0,0.0,6,5,5,6,0,0,0,0,58.37109419999979
40,215,101768.0,101893.0,101444.0,101701.66666666667,231.7333237437666,0.0,0.0,0.0,0.0,6,6,6,6,0,0,0,0,59.83009099999981
41,214,110825.0,111330.0,111491.0,111215.33333333333,347.49148670626926,0.0,0.0,0.0,0.0,6,6,6,6,0,0,0,0,61.29487759999938
42,213,122621.0,121513.0,121892.0,122008.66666666667,563.1379345536344,0.0,0.0,0.0,0.0,7,7,7,7,0,0,0,0,62.755715999999666
43,212,132269.0,132265.0,132309.0,132281.0,24.331050121192877,0.0,0.0,0.0,0.0,7,7,7,7,0,0,0,0,64.23975919999975
44,211,144107.0,143629.0,143707.0,143814.33333333334,256.43972651157884,0.0,0.0,0.0,0.0,7,7,7,7,0,0,0,0,65.68646719999924
45,210,155295.0,155597.0,155776.0,155556.0,243.1069723393387,0.0,0.0,0.0,0.0,7,8,8,8,0,0,0,0,67.13902899999994
46,209,168117.0,169129.0,168506.0,168584.0,510.4889812718782,0.0,0.0,0.0,0.0,8,8,8,8,0,0,0,0,68.59137689999989
47,208,181617.0,181517.0,181764.0,181632.66666666666,124.24304138797204,0.0,0.0,0.0,0.0,8,9,9,9,0,0,0,0,70.05646889999844
48,207,194587.0,194686.0,194995.0,194756.0,212.81682264332395,0.0,0.0,0.0,0.0,9,9,9,9,0,0,0,0,71.51916179999898
49,206,209802.0,209093.0,209377.0,209424.0,356.8290907423328,0.0,0.0,0.0,0.0,10,10,10,10,0,0,0,0,72.9936392999989
50,205,225680.0,224871.0,224285.0,224945.33333333334,700.4643697814568,0.0,0.0,0.0,0.0,10,10,10,10,0,0,0,0,74.45566359999975
51,204,240586.0,241366.0,240636.0,240862.66666666666,436.6157731156003,0.0,0.0,0.0,0.0,10,10,11,11,0,0,0,0,75.91527439999845
52,203,258225.0,257366.0,256885.0,257492.0,678.8276659064508,0.0,0.0,0.0,0.0,11,11,11,11,0,0,0,0,77.37232789999871
53,202,274357.0,273246.0,276280.0,274627.6666666667,1535.0030401707136,0.0,0.0,0.0,0.0,11,12,12,12,0,0,0,0,78.82829259999926
54,201,293713.0,292613.0,293235.0,293187.0,551.5686720617841,0.0,0.0,0.0,0.0,12,12,13,13,0,0,0,0,80.29451679999875
55,200,310204.0,310557.0,310508.0,310423.0,191.23545696339892,0.0,0.0,0.0,0.0,13,13,13,13,0,0,0,0,81.76413959999991
56,199,330897.0,331242.0,329474.0,330537.6666666667,937.1746546579956,0.0,0.0,0.0,0.0,14,13,13,14,0,0,0,0,83.22485609999967
57,198,351711.0,350565.0,351401.0,351225.6666666667,592.7776424034001,0.0,0.0,0.0,0.0,14,13,14,14,0,0,0,0,84.69207279999864
58,197,373582.0,372580.0,373050.0,373070.6666666667,501.3195920102598,0.0,0.0,0.0,0.0,14,14,15,15,0,0,0,0,86.1440621999991
59,196,394308.0,395059.0,394659.0,394675.3333333333,375.76632809943646,0.0,0.0,0.0,0.0,15,15,15,15,0,0,0,0,87.60832589999882
60,195,417017.0,419549.0,418681.0,418415.6666666667,1286.6846285447468,0.0,0.0,0.0,0.0,16,16,16,16,0,0,0,0,89.07432699999845
61,194,442373.0,441662.0,442931.0,442322.0,636.0353763746165,0.0,0.0,0.0,0.0,17,16,17,17,0,0,0,0,90.54213170000003
62,193,467828.0,466266.0,466141.0,466745.0,939.9856381881586,0.0,0.0,0.0,0.0,18,17,17,18,0,0,0,0,92.01484079999864
63,192,491217.0,490576.0,491299.0,491030.6666666667,395.88171634129975,0.0,0.0,0.0,0.0,18,17,18,18,0,0,0,0,93.47304900000017
64,191,520101.0,519181.0,519077.0,519453.0,563.5885023667533,0.0,0.0,0.0,0.0,19,18,18,19,0,0,0,0,94.92431899999974
65,190,544368.0,544161.0,543966.0,544165.0,201.02984853001308,0.0,0.0,0.0,0.0,20,20,20,20,0,0,0,0,96.39274619999924
66,189,575288.0,575955.0,574713.0,575318.6666666666,621.5676418004184,0.0,0.0,0.0,0.0,21,21,21,21,0,0,0,0,97.8507484999991
67,188,602295.0,603760.0,602917.0,602990.6666666666,735.272965185946,0.0,0.0,0.0,0.0,22,21,22,22,0,0,0,0,99.32439109999905
68,187,633588.0,633163.0,632590.0,633113.6666666666,500.8256516327147,0.0,0.0,0.0,0.0,22,23,22,23,0,0,0,0,100.78088669999852
69,186,665398.0,665101.0,663823.0,664774.0,836.8709577945694,0.0,0.0,0.0,0.0,24,23,24,24,0,0,0,0,102.25107039999966
70,185,696735.0,696561.0,695608.0,696301.3333333334,606.7143754134505,0.0,0.0,0.0,0.0,24,24,24,24,0,0,0,0,103.70850599999903
71,184,730751.0,729802.0,731355.0,730636.0,782.860779449322,0.0,0.0,0.0,0.0,26,26,25,26,0,0,0,0,105.16829759999928
72,183,765960.0,765835.0,763873.0,765222.6666666666,1170.5154135394089,0.0,0.0,0.0,0.0,26,27,28,28,0,0,0,0,106.6272801999985
73,182,800692.0,798749.0,797804.0,799081.6666666666,1472.4592807046765,0.0,0.0,0.0,0.0,28,28,27,28,0,0,0,0,108.07691619999969
74,181,837766.0,837160.0,838249.0,837725.0,545.656485345863,0.0,0.0,0.0,0.0,30,28,29,30,0,0,0,0,109.54173609999998
