gray,time_s,power_raw,reference_power_interpolated,power_corrected,peak,saturated,background
255,1.0302941999998438,10128.0,6724470.117011925,0.0015061409782129364,3,0,0.0
254,1.548066800000015,10063.0,6723203.890968058,0.0014967566302010592,3,0,0.0
253,2.0781049999986863,9971.0,6721907.66908787,0.00148335866704236,3,0,0.0
252,2.604328399998849,10265.0,6720620.776397967,0.001527388665649679,3,0,0.0
251,3.134381799998664,10097.0,6719324.51734579,0.001502680808753144,3,0,0.0
250,3.657225799999651,10054.0,6718045.889064416,0.001496566139324208,3,0,0.0
249,4.188479499998721,10199.0,6716746.694648105,0.0015184434464569805,3,0,0.0
248,4.72451159999946,10350.0,6715435.814533226,0.0015412253628574667,3,0,0.0
247,5.247780300000159,10231.0,6714156.147637216,0.0015237953623703552,3,0,0.0
246,5.77355979999993,10217.0,6712870.340516039,0.001522001689550671,3,0,0.0
245,6.307658499999889,10197.0,6711564.188579967,0.001519317958301086,3,0,0.0
244,6.833375399999568,10320.0,6710278.534548679,0.0015379391402109814,3,0,0.0
243,7.347994499999913,10351.0,6709020.020469157,0.0015428482801391555,3,0,0.0
242,7.871462999999494,10378.0,6707739.864957175,0.0015471679297250531,3,0,0.0
241,8.401455399998667,10489.0,6706443.7550820485,0.0015640181865465709,3,0,0.0
240,8.926280300000144,10553.0,6705160.282459412,0.0015738624515220722,3,0,0.0
239,9.975214199999755,10739.0,6703058.924461264,0.0016021043707090954,3,0,0.0
238,10.508656599999085,10949.0,6702224.935744992,0.0016336366064955044,3,0,0.0
237,11.039165999998659,11443.0,6701395.532507686,0.001707554783849326,3,0,0.0
236,11.56096339999931,11613.0,6700579.749690682,0.0017331336143765904,3,0,0.0
235,12.075317099999666,12222.0,6699775.604422188,0.0018242402017065865,3,0,0.0
234,12.598149999999805,12877.0,6698958.202695035,0.001922239191583476,3,0,0.0
233,13.12796939999862,13871.0,6698129.878210027,0.002070876536020053,3,0,0.0
232,13.656526199998552,14937.0,6697303.527685379,0.0022303005886254498,3,0,0.0
231,14.178801099998964,16861.0,6696486.998340518,0.0025178873645507545,3,0,0.0
230,14.703094999998939,18647.0,6695667.312472632,0.0027849352618318605,3,0,0.0
229,15.22600710000006,21997.0,6694849.786923476,0.00328565997745984,3,0,0.0
228,15.75798020000002,24561.0,6694018.09532423,0.0036690967443239885,3,0,0.0
227,16.283701499998642,28269.0,6693196.177846161,0.00422354272142324,3,0,0.0
226,16.80957959999978,32557.0,6692374.015225536,0.0048647908688203845,3,0,0.0
225,17.334920199999033,36550.0,6691552.69293732,0.005462110466316306,3,0,0.0
224,17.863416999998663,41516.0,6690726.4362172205,0.006205006346586212,3,0,0.0
223,18.923010799999247,46890.0,6688696.404921751,0.007010334624471351,3,0,0.0
222,19.455099299999347,52262.0,6687492.096695981,0.007814887740326532,4,0,0.0
221,19.990017899999657,57707.0,6686281.382932956,0.00863065681730054,4,0,0.0
220,20.523263600000064,64104.0,6685074.455546128,0.00958912281774476,4,0,0.0
219,20.982470599999942,70736.0,6684035.10444677,0.010582828919157022,4,0,0.0
218,21.492784299998675,77761.0,6682880.080448636,0.011635851468814587,5,0,0.0
