WGS_iterations,power_CV_percent
0.000000000000000000e+00,1.545390000000000086e+01
5.000000000000000000e+00,2.950949366984963351e+00
1.000000000000000000e+01,2.370898889565443035e+00
2.000000000000000000e+01,1.790318347569427315e+00
3.000000000000000000e+01,1.165710670221831613e+00
4.000000000000000000e+01,1.291527402853570372e+00
5.000000000000000000e+01,1.007360626906815604e+00
