scan_index,test_gray,power_frame_1,power_frame_2,power_frame_3,power_mean,power_std,background_frame_1,background_frame_2,background_frame_3,background_mean,peak_frame_1,peak_frame_2,peak_frame_3,peak_max,saturated_frame_1,saturated_frame_2,saturated_frame_3,saturated_total,elapsed_s
0,255,15712.0,15847.0,15560.0,15706.333333333334,143.58388953268167,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,1.537232500000755
1,254,15855.0,15572.0,15745.0,15724.0,142.6639407839276,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,3.0154935999998997
2,253,15639.0,15618.0,15664.0,15640.333333333334,23.028967265887832,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,4.480876899999203
3,252,15613.0,15883.0,15772.0,15756.0,135.70924802680176,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,5.950792400000864
4,251,15364.0,15694.0,15481.0,15513.0,167.31108749870702,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,7.410127799999827
5,250,15725.0,15645.0,15685.0,15685.0,40.0,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,8.878488199999993
6,249,15797.0,15629.0,15769.0,15731.666666666666,90.00740710260091,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,10.353081999999631
7,248,15829.0,15898.0,16028.0,15918.333333333334,101.04619405664586,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,11.84156350000012
8,247,16120.0,16257.0,16323.0,16233.333333333334,103.54870029765382,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,13.317389300000286
9,246,16315.0,16265.0,16241.0,16273.666666666666,37.753587026047384,0.0,0.0,0.0,0.0,4,3,4,4,0,0,0,0,14.787635200000295
10,245,16482.0,16570.0,16346.0,16466.0,112.85388783732708,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,16.258303500000693
11,244,16888.0,16748.0,16831.0,16822.333333333332,70.40123104984268,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,17.720991399999548
12,243,17082.0,16760.0,16828.0,16890.0,169.71741218861428,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,19.182568599999286
13,242,17226.0,17114.0,17009.0,17116.333333333332,108.51881557284585,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,20.645700999999463
14,241,17657.0,17608.0,17764.0,17676.333333333332,79.77677189090402,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,22.102235099999234
15,240,18254.0,18057.0,18097.0,18136.0,104.12972678346948,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,23.58395500000006
16,239,18992.0,18778.0,19021.0,18930.333333333332,132.719001402713,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,25.055225199999768
17,238,19728.0,19773.0,19643.0,19714.666666666668,66.01767440112786,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,26.533453800000643
18,237,21062.0,20720.0,20735.0,20839.0,193.26924225028668,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,28.00357249999979
19,236,22120.0,22331.0,22134.0,22195.0,117.98728745080972,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,29.467748900000515
20,235,23885.0,24316.0,24342.0,24181.0,256.67294364618954,0.0,0.0,0.0,0.0,3,4,4,4,0,0,0,0,30.93933780000043
21,234,26184.0,26132.0,26133.0,26149.666666666668,29.73774257292126,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,32.408628600000156
22,233,28647.0,28632.0,28817.0,28698.666666666668,102.75375094532234,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,33.87727570000061
23,232,32986.0,32715.0,32736.0,32812.333333333336,150.7658228290926,0.0,0.0,0.0,0.0,4,3,4,4,0,0,0,0,35.35258520000025
24,231,36738.0,36578.0,36504.0,36606.666666666664,119.60490513910094,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,36.81704429999991
25,230,40754.0,40944.0,41107.0,40935.0,176.67201249773547,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,38.2914923999997
26,229,46464.0,46390.0,46167.0,46340.333333333336,154.6037946925409,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,39.767875400000776
27,228,51131.0,50730.0,51337.0,51066.0,308.67620575612887,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,41.234570700000404
28,227,56990.0,56906.0,56761.0,56885.666666666664,115.84616235911025,0.0,0.0,0.0,0.0,4,4,4,4,0,0,0,0,42.695537100000365
29,226,62730.0,62496.0,62554.0,62593.333333333336,121.85784067237255,0.0,0.0,0.0,0.0,5,5,4,5,0,0,0,0,44.16718410000067
30,225,68852.0,68494.0,69011.0,68785.66666666667,264.8062184566921,0.0,0.0,0.0,0.0,5,5,5,5,0,0,0,0,45.63093409999965
31,224,75546.0,75791.0,75590.0,75642.33333333333,130.61521095696833,0.0,0.0,0.0,0.0,5,5,5,5,0,0,0,0,47.11075709999932
32,223,83011.0,83364.0,82713.0,83029.33333333333,325.88699472874544,0.0,0.0,0.0,0.0,5,5,5,5,0,0,0,0,48.57437670000036
