gray,time_s,power,background,peak,saturated
139,61.61085119999916,32075466.0,0.0,214,0
138,62.13317610000013,32182018.0,0.0,213,0
137,62.647402200000215,32249716.0,0.0,214,0
136,63.183040699999765,32295858.0,0.0,214,0
135,63.733111599998665,32513320.0,0.0,215,0
134,64.24573129999953,32497337.0,0.0,214,0
133,64.76193739999871,32490639.0,0.0,214,0
132,65.27682159999858,32722058.0,0.0,219,0
131,65.79434939999919,32856341.0,0.0,214,0
130,66.31019869999909,32845078.0,0.0,217,0
129,66.82974469999863,32818362.0,0.0,216,0
128,67.34279900000001,32815067.0,0.0,212,0
127,67.85576109999965,32844569.0,0.0,213,0
126,68.3663102999999,32785587.0,0.0,214,0
125,68.87990290000016,32736939.0,0.0,212,0
124,69.39250629999879,32765277.0,0.0,217,0
123,69.91054519999852,32746366.0,0.0,213,0
122,70.42756759999975,32618924.0,0.0,215,0
121,70.9478425999987,32564035.0,0.0,210,0
120,71.47189009999965,32501508.0,0.0,212,0
119,71.99133549999897,32577032.0,0.0,212,0
118,72.50999319999937,32368318.0,0.0,210,0
117,73.02897339999981,32302065.0,0.0,210,0
116,73.55143270000008,32289449.0,0.0,209,0
115,74.07127579999906,32180539.0,0.0,207,0
114,74.58701859999928,31954258.0,0.0,208,0
113,75.10368099999869,31842244.0,0.0,206,0
112,75.62238199999956,31799799.0,0.0,209,0
111,76.14460739999959,31650391.0,0.0,207,0
110,76.66643759999897,31492431.0,0.0,203,0
109,77.18487699999969,31261756.0,0.0,204,0
108,77.70754239999951,31043640.0,0.0,203,0
107,78.23026740000023,30882615.0,0.0,201,0
106,78.74357439999949,30760904.0,0.0,199,0
105,79.2646077999998,30527375.0,0.0,196,0
104,79.77875499999936,30384943.0,0.0,200,0
103,80.29334139999992,30186434.0,0.0,196,0
102,80.80819689999953,29910864.0,0.0,197,0
101,81.32989110000017,29635135.0,0.0,196,0
100,81.85027389999959,29336872.0,0.0,191,0
99,82.37409409999964,29090730.0,0.0,190,0
98,82.89267130000007,28915594.0,0.0,193,0
97,83.41060180000022,28707150.0,0.0,187,0
96,83.93066980000003,28343497.0,0.0,188,0
95,84.45392329999959,28106849.0,0.0,190,0
94,84.97191000000021,27861985.0,0.0,183,0
93,85.4923020999995,27537290.0,0.0,182,0
92,86.00853869999992,27310941.0,0.0,180,0
91,86.52565729999878,27064074.0,0.0,181,0
90,87.04496899999867,26650637.0,0.0,176,0
89,87.56252820000009,26294013.0,0.0,177,0
88,88.0793466999985,26048526.0,0.0,173,0
87,88.59704079999938,25680416.0,0.0,171,0
86,89.11559440000019,25373039.0,0.0,172,0
85,89.6337311999996,25071828.0,0.0,166,0
84,90.15326319999986,24643474.0,0.0,166,0
83,90.67412419999891,24344092.0,0.0,168,0
82,91.19455589999961,23887269.0,0.0,163,0
81,91.71781289999853,23548961.0,0.0,161,0
80,92.23328450000008,23167665.0,0.0,159,0
79,92.7562911999994,22796990.0,0.0,156,0
78,93.28426489999947,22551484.0,0.0,156,0
77,93.80763529999967,22218799.0,0.0,151,0
76,94.33829689999948,21760383.0,0.0,148,0
75,94.85806889999913,21214009.0,0.0,145,0
74,95.38464439999916,20839358.0,0.0,142,0
73,95.902797499999,20504152.0,0.0,145,0
72,96.41719059999923,20087279.0,0.0,141,0
71,96.93315819999953,19635002.0,0.0,134,0
70,97.4462954999999,19291172.0,0.0,135,0
69,97.96035029999985,18923304.0,0.0,132,0
68,98.4748301999989,18480562.0,0.0,126,0
67,98.93367500000022,18062321.0,0.0,123,0
66,99.39289660000031,17691413.0,0.0,123,0
65,99.85382819999904,17307992.0,0.0,120,0
64,100.36648979999882,16941103.0,0.0,118,0
63,100.88715849999971,16516174.0,0.0,116,0
62,101.4379818999987,16060232.0,0.0,113,0
61,101.95501999999942,15683258.0,0.0,109,0
60,102.4724585999993,15285795.0,0.0,105,0
59,102.98976669999865,14957790.0,0.0,106,0
58,103.5078741999987,14498674.0,0.0,102,0
57,104.02984119999928,14063613.0,0.0,97,0
56,104.56149170000026,13620674.0,0.0,94,0
55,105.08518399999957,13230260.0,0.0,93,0
54,105.61330049999924,12840570.0,0.0,89,0
53,106.13756610000019,12402502.0,0.0,86,0
52,106.66801729999861,11992892.0,0.0,83,0
51,107.19377319999876,11611804.0,0.0,82,0
50,107.71298079999906,11452996.0,0.0,80,0
49,108.24692569999934,11098792.0,0.0,77,0
48,108.77667659999861,10708127.0,0.0,75,0
47,109.29889729999923,10252045.0,0.0,70,0
46,109.82578420000027,9869760.0,0.0,69,0
45,110.35234489999857,9499179.0,0.0,65,0
44,110.8748633999985,9164786.0,0.0,63,0
43,111.40008469999884,8792690.0,0.0,61,0
42,111.92897759999869,8384881.0,0.0,56,0
41,112.4618260999996,7987958.0,0.0,53,0
40,112.99038449999898,7764740.0,0.0,53,0
39,113.52241349999895,7406651.0,0.0,50,0
38,114.04937559999962,7084283.0,0.0,48,0
37,114.57665180000004,6714849.0,0.0,45,0
36,115.09953889999997,6357673.0,0.0,42,0
35,115.61936529999912,6019954.0,0.0,40,0
34,116.13878509999995,5677111.0,0.0,37,0
33,116.65904479999881,5561245.0,0.0,36,0
32,117.18378099999973,5265518.0,0.0,34,0
31,117.70172789999924,4960984.0,0.0,32,0
30,118.22067939999943,4634237.0,0.0,30,0
29,118.74557660000028,4359799.0,0.0,29,0
28,119.26735409999856,4074925.0,0.0,28,0
27,119.79620169999907,3791028.0,0.0,27,0
26,120.31509939999887,3614320.0,0.0,26,0
25,120.83729769999991,3341219.0,0.0,25,0
24,121.36313309999969,3066026.0,0.0,24,0
23,121.8878797999987,2816375.0,0.0,24,0
22,122.40968549999889,2586126.0,0.0,22,0
21,122.92924279999897,2368466.0,0.0,22,0
20,123.45216889999938,2300696.0,0.0,21,0
19,123.98059509999985,2085727.0,0.0,20,0
18,124.50296879999951,1874643.0,0.0,19,0
17,125.03365359999952,1671365.0,0.0,17,0
16,125.56354669999928,1488223.0,0.0,17,0
15,126.08667590000005,1353813.0,0.0,15,0
14,126.61666580000019,1188022.0,0.0,15,0
13,127.15092889999869,1023719.0,0.0,14,0
12,127.67859259999932,886014.0,0.0,14,0
11,128.21661829999903,756722.0,0.0,13,0
10,128.74775389999922,731774.0,0.0,12,0
9,129.279258999999,613163.0,0.0,12,0
8,129.8125927000001,504746.0,0.0,11,0
7,130.3398344999987,412659.0,0.0,10,0
6,130.8664847,338684.0,0.0,9,0
5,131.39514459999918,283956.0,0.0,8,0
4,131.91987960000006,242520.0,0.0,8,0
3,132.44883859999936,194351.0,0.0,7,0
2,132.9745597000001,164762.0,0.0,6,0
1,133.50083259999883,134253.0,0.0,6,0
0,134.0296944999991,113799.0,0.0,5,0
